epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.27986,1.38258,3.64275,1.45612,0.56747,0.875,0.58425,0.37142,0.99823,5.93088,1.18675,0.00036,0.00036,0.00036
2,11.1944,1.42544,3.13612,1.43255,0.58895,0.66667,0.61444,0.31503,1.21715,3.15738,1.25742,0.000725348,0.000725348,0.000725348
3,16.0309,1.38907,2.49918,1.31182,0.44915,0.54167,0.48251,0.22614,1.59309,6.5001,1.60298,0.00107565,0.00107565,0.00107565
4,20.899,1.43302,2.7021,1.4496,0.27132,0.70833,0.38782,0.15643,1.45061,7.27771,1.69182,0.0014109,0.0014109,0.0014109
5,25.7838,1.5395,3.21872,1.52003,0.28548,0.16667,0.15162,0.08605,1.58652,5.29464,1.54052,0.0017311,0.0017311,0.0017311
6,30.6986,1.5652,2.03836,1.60281,0.16382,0.54167,0.18218,0.08689,1.59484,15.5146,1.63637,0.001802,0.001802,0.001802
7,35.5517,1.5882,2.10278,1.52059,0.10688,0.16667,0.05726,0.02377,2.05428,12.3873,1.98897,0.0017624,0.0017624,0.0017624
8,40.3642,1.60729,2.59135,1.61805,0.48351,0.27381,0.25049,0.11997,1.99316,2.5395,2.33084,0.0017228,0.0017228,0.0017228
9,45.2303,1.74772,2.34901,1.7364,0.18324,0.375,0.22805,0.08077,1.75155,7.92151,2.578,0.0016832,0.0016832,0.0016832
10,50.0795,1.41072,1.70331,1.44128,0.06481,0.375,0.06708,0.01976,1.68168,19.8254,1.89974,0.0016436,0.0016436,0.0016436
11,54.8919,1.50729,1.76522,1.53469,0.16465,0.29167,0.13985,0.08672,1.68443,4.52578,1.70786,0.001604,0.001604,0.001604
12,59.7669,1.75696,1.96022,1.65064,0.44263,0.29167,0.29748,0.12202,1.85233,3.46009,2.06326,0.0015644,0.0015644,0.0015644
13,64.6759,1.59657,1.58111,1.60935,0.70303,0.375,0.37586,0.14666,1.79302,3.27739,1.94682,0.0015248,0.0015248,0.0015248
